"scenario","obs_per_trial","n_subj","method","class_true","run","class_pred","RI","RIc","adj.RI","adj.RIc","NMI","NMIc","warnings"
"sc8","4","200","BBMEM","4","1","0","0.72356783919598","0.897989949748744","0.447500620130271","0.742821543004787","0.381672948690662","0.695272987814607","none"
"sc8","4","200","LCA","4","2","4","0.849447236180905","0.849447236180905","0.620589633863053","0.620589633863053","0.602034602028064","0.602034602028064","none"
"sc8","4","200","GLM","4","2","2","0.677035175879397","0.789447236180905","0.35312998331819","0.464186585035506","0.2993535457335","0.49715053015459","none"
"sc8","4","200","LMEM","4","2","4","0.839045226130653","0.839045226130653","0.598335475218127","0.598335475218127","0.584884858892809","0.584884858892809","none"
"sc8","4","200","BMEM","4","2","1","0.287286432160804","0.863015075376884","0","0.659080101112199","0","0.605944203573895","none"
"sc8","4","200","BBMEM","4","2","0","0.862412060301508","0.862412060301508","0.657068475292864","0.657068475292864","0.605743709716146","0.605743709716146","none"
"sc8","4","200","LCA","4","3","4","0.817889447236181","0.817889447236181","0.533781143302099","0.533781143302099","0.516828479434035","0.516828479434035","none"
"sc8","4","200","GLM","4","3","3","0.687437185929648","0.746834170854271","0.263031569396475","0.351798211337491","0.314933106922623","0.410281302661099","none"
"sc8","4","200","LMEM","4","3","5","0.774020100502513","0.751959798994975","0.677908154421938","0.373073396961152","0.421269525026702","0.428131694341331","none"
"sc8","4","200","BMEM","4","3","6","0.805477386934673","0.84643216080402","0.543617452614917","0.614636527276824","0.471965686968913","0.563813032554554","none"
"sc8","4","200","BBMEM","4","3","0","0.841306532663317","0.841306532663317","0.600227709938149","0.600227709938149","0.549418369824918","0.549418369824918","none"
"sc8","4","200","LCA","4","4","4","0.890653266331658","0.890653266331658","0.711523401783326","0.711523401783326","0.694124326269732","0.694124326269732","none"
"sc8","4","200","GLM","4","4","2","0.680402010050251","0.70964824120603","0.361760291781708","0.358426605112212","0.315593888564341","0.366529540877374","none"
"sc8","4","200","LMEM","4","4","1","0.259547738693467","0.838894472361809","0","0.597164033380641","0","0.582627455769537","none"
"sc8","4","200","BMEM","4","4","6","0.844070351758794","0.884924623115578","0.708846856909807","0.701510251623891","0.523902419284752","0.651770231471677","none"
"sc8","4","200","BBMEM","4","4","0","0.865929648241206","0.865929648241206","0.650531230942545","0.650531230942545","0.607015943021108","0.607015943021108","none"
"sc8","4","200","LCA","4","5","4","0.864070351758794","0.864070351758794","0.643322320904332","0.643322320904332","0.636576653261688","0.636576653261688","none"
"sc8","4","200","GLM","4","5","2","0.683869346733668","0.77321608040201","0.366263866693857","0.425401792700699","0.33383490678717","0.497950563894621","none"
"sc8","4","200","LMEM","4","5","1","0.263718592964824","0.815226130653266","0","0.527578246065568","0","0.560260661931555","none"
"sc8","4","200","BMEM","4","5","1","0.263718592964824","0.870301507537688","0","0.667949032475737","0","0.643418669846275","none"
"sc8","4","200","BBMEM","4","5","0","0.866683417085427","0.866683417085427","0.654569921634722","0.654569921634722","0.631570882422209","0.631570882422209","none"
"sc8","4","400","LCA","4","1","5","0.826754385964912","0.870889724310777","0.641806859771132","0.66936556061874","0.552064175742901","0.656668852403957","none"
"sc8","4","400","GLM","4","1","3","0.7031328320802","0.75749373433584","0.310083463331659","0.378476228543017","0.343793731541396","0.43953870177585","none"
"sc8","4","400","LMEM","4","1","1","0.273421052631579","0.785275689223058","0","0.45136391169164","0","0.478019815419603","none"
"sc8","4","400","BMEM","4","1","1","0.273421052631579","0.884987468671679","0","0.711126630822461","0","0.663297048598138","none"
"sc8","4","400","BBMEM","4","1","0","0.868872180451128","0.868872180451128","0.675555549680777","0.675555549680777","0.636169226994708","0.636169226994708","none"
"sc8","4","400","LCA","4","2","5","0.841641604010025","0.872355889724311","0.524332458894611","0.683958554077806","0.549555546111235","0.64680680511339","none"
"sc8","4","400","GLM","4","2","6","0.778095238095238","0.785639097744361","0.563076238087992","0.49443088796942","0.452605045923266","0.460179876108309","none"
"sc8","4","400","LMEM","4","2","1","0.281666666666667","0.814887218045113","0","0.573388802928943","0","0.519237808803227","none"
"sc8","4","400","BMEM","4","2","1","0.281666666666667","0.863972431077694","0","0.668142742745966","0","0.606943128441926","none"
"sc8","4","400","BBMEM","4","2","0","0.830889724310777","0.859937343358396","0.597898544306843","0.655761909738598","0.521166072080311","0.604953015138978","none"
"sc8","4","400","LCA","4","3","6","0.809498746867168","0.846992481203008","0.654101819662587","0.610734170389009","0.481837489638079","0.582574388403942","none"
"sc8","4","400","GLM","4","3","6","0.793182957393484","0.797268170426065","0.513808682394873","0.513051812604965","0.440616064506634","0.496105699957924","none"
"sc8","4","400","LMEM","4","3","1","0.283320802005013","0.796892230576441","0","0.509461459826312","0","0.493847118175365","none"
"sc8","4","400","BMEM","4","3","1","0.283320802005013","0.861904761904762","0","0.653677288720811","0","0.591785161636678","none"
